ID_Tempo,DT_REF_MES,Ano,Mes,Mes_Nome
1,2019-08-01,2019,8,August
2,2019-09-01,2019,9,September
3,2019-10-01,2019,10,October
4,2019-11-01,2019,11,November
5,2019-12-01,2019,12,December
6,2020-01-01,2020,1,January
7,2020-02-01,2020,2,February
8,2020-03-01,2020,3,March
9,2020-04-01,2020,4,April
10,2020-05-01,2020,5,May
11,2020-06-01,2020,6,June
12,2020-07-01,2020,7,July
13,2020-08-01,2020,8,August
14,2020-09-01,2020,9,September
15,2020-10-01,2020,10,October
16,2020-11-01,2020,11,November
17,2020-12-01,2020,12,December
18,2021-01-01,2021,1,January
19,2021-02-01,2021,2,February
20,2021-03-01,2021,3,March
21,2021-04-01,2021,4,April
22,2021-05-01,2021,5,May
23,2021-06-01,2021,6,June
24,2021-07-01,2021,7,July
25,2021-08-01,2021,8,August
26,2021-09-01,2021,9,September
27,2021-10-01,2021,10,October
28,2021-11-01,2021,11,November
29,2021-12-01,2021,12,December
30,2022-01-01,2022,1,January
31,2022-02-01,2022,2,February
32,2022-03-01,2022,3,March
33,2022-04-01,2022,4,April
34,2022-05-01,2022,5,May
35,2022-06-01,2022,6,June
36,2022-07-01,2022,7,July
37,2022-08-01,2022,8,August
38,2022-09-01,2022,9,September
39,2022-10-01,2022,10,October
40,2022-11-01,2022,11,November
41,2022-12-01,2022,12,December
42,2023-01-01,2023,1,January
43,2023-02-01,2023,2,February
44,2023-03-01,2023,3,March
45,2023-04-01,2023,4,April
46,2023-05-01,2023,5,May
47,2023-06-01,2023,6,June
48,2023-07-01,2023,7,July
49,2023-08-01,2023,8,August
50,2023-09-01,2023,9,September
51,2023-10-01,2023,10,October
52,2023-11-01,2023,11,November
53,2023-12-01,2023,12,December
54,2024-01-01,2024,1,January
55,2024-02-01,2024,2,February
56,2024-03-01,2024,3,March
57,2024-04-01,2024,4,April
58,2024-05-01,2024,5,May
59,2024-06-01,2024,6,June
